NF;Série;CD;CIA;Emissão;Cód. do cliente;Cliente;Código do vendedor;Vendedor;Trecho atual;Transportadora;Valor do frete;Peso;Valor da NF;Volume;Embarque;Romaneio;Data de entrega;Data de baixa;Telefone;Previsão de entrega;Limite de entrega;Status
1433878;4;CD01;CD01;07/05/2024 00:00;1048565;SIM EMPREENDIMENTOS COMERCIAIS SUPERMERCADOS LTDA;716;Mora - Mora Repres.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;42,319;1.016,80;10;07/05/2024 17:54;427669;14/05/2024 16:55;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433877;4;CD01;CD01;07/05/2024 00:00;1008972;MONTE BELLO E NASTARO LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;2,844;115,53;2;07/05/2024 17:54;427669;13/05/2024 16:45;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433876;4;CD01;CD01;07/05/2024 00:00;1007217;MARLENE LATARINI GINEZI & CIA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;3,296;64,3;1;07/05/2024 17:54;427669;13/05/2024 10:34;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 23:30;15/05/2024 00:30;Entregue sem ocorrência
1433792;4;CD01;CD01;07/05/2024 00:00;1044359;CARLOS EDUARDO FRANCO 12269596870;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;212,657;4.031,19;61;07/05/2024 17:54;427114;15/05/2024 16:30;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 15:49;Entregue com ocorrência
1433791;4;CD01;CD01;07/05/2024 00:00;1046811;MEGA VEST CASA LTDA;646;Vest Casa;Trecho Único;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho único;0;13.674,56;176.569,20;1.278,00;07/05/2024 15:37;427115;08/05/2024 17:48;15/05/2024;Baixado pelo usuário LSDOMINGOS;10/05/2024 15:37;10/05/2024 23:30;Retorno total
1433790;4;CD01;CD01;07/05/2024 00:00;1046811;MEGA VEST CASA LTDA;646;Vest Casa;Trecho Único;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho único;0;464,076;7.192,80;36;07/05/2024 15:37;427115;08/05/2024 17:48;15/05/2024;Baixado pelo usuário LSDOMINGOS;10/05/2024 15:37;10/05/2024 23:30;Retorno total
1433789;4;CD01;CD01;07/05/2024 00:00;1048150;S V COMERCIO DE PRESENTES LTDA;102;Valdir - Lobo Repres;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;52,74;833,34;22;07/05/2024 17:54;427114;15/05/2024 16:39;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433788;4;CD01;CD01;07/05/2024 00:00;1047826;NASTARO E NICOLETI SUPERMERCADOS LT DA;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;9,384;201,69;2;07/05/2024 17:54;427114;15/05/2024 16:51;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433786;4;CD01;CD01;07/05/2024 00:00;1047067;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;74,546;1.021,43;14;07/05/2024 17:54;427114;13/05/2024 10:49;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433785;4;CD01;CD01;07/05/2024 00:00;1047067;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;285,277;4.570,06;28;07/05/2024 17:54;427114;13/05/2024 10:50;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433784;4;CD01;CD01;07/05/2024 00:00;1047061;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;74,514;1.016,30;14;07/05/2024 17:54;427114;13/05/2024 10:26;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 15:49;Entregue sem ocorrência
1433783;4;CD01;CD01;07/05/2024 00:00;1047061;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;158,124;2.257,87;19;07/05/2024 17:54;427114;13/05/2024 10:28;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 15:49;Entregue sem ocorrência
1433782;4;CD01;CD01;07/05/2024 00:00;1047055;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;75,864;1.000,28;12;07/05/2024 17:54;427114;13/05/2024 11:11;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue com ocorrência
1433781;4;CD01;CD01;07/05/2024 00:00;1047055;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;187,051;2.874,17;19;07/05/2024 17:54;427114;13/05/2024 11:12;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue com ocorrência
1433779;4;CD01;CD01;07/05/2024 00:00;1043551;BASSETO E MATEUS COMERCIO VAREJISTA UTILIDADES LTDA;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;152,212;2.316,91;30;07/05/2024 17:54;427114;13/05/2024 10:16;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433778;4;CD01;CD01;07/05/2024 00:00;1039614;SILVANA BAIOCCHI GONCALVES;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;111,083;1.782,60;16;07/05/2024 17:54;427114;13/05/2024 10:22;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433777;4;CD01;CD01;07/05/2024 00:00;1035219;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;103,741;1.960,67;23;07/05/2024 17:54;427114;15/05/2024 16:31;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433776;4;CD01;CD01;07/05/2024 00:00;1035218;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;81,811;1.556,20;19;07/05/2024 17:54;427114;16/05/2024 10:42;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433775;4;CD01;CD01;07/05/2024 00:00;1033828;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;162,448;3.272,88;36;07/05/2024 17:54;427114;14/05/2024 10:25;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433774;4;CD01;CD01;07/05/2024 00:00;1033431;MONCOES DOCES LTDA;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;243,775;3.840,04;32;07/05/2024 17:54;427114;13/05/2024 11:03;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433773;4;CD01;CD01;07/05/2024 00:00;1033242;TEND MEL COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;51,36;686,54;4;07/05/2024 17:54;427114;13/05/2024 10:59;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433772;4;CD01;CD01;07/05/2024 00:00;1029382;LUIZ DOS SANTOS LIMEIRA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;38,508;1.095,00;4;07/05/2024 17:54;427114;13/05/2024 16:21;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433771;4;CD01;CD01;07/05/2024 00:00;1029344;SHOPPING FESTAS LIMEIRA LTDA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;204,799;2.557,86;23;07/05/2024 17:54;427114;13/05/2024 16:20;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433770;4;CD01;CD01;07/05/2024 00:00;1029283;A.M.G ATACAREJO DE PRODUTOS ALIMENTICIOS LTDA;706;Bertolino M. F. Camp;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;111,992;2.087,06;16;07/05/2024 17:54;427114;13/05/2024 11:01;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433769;4;CD01;CD01;07/05/2024 00:00;1029269;J. V. ORRU DE SOUZA ;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;25,744;412,91;2;07/05/2024 17:54;427114;13/05/2024 10:19;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433768;4;CD01;CD01;07/05/2024 00:00;1028038;CND 27 COMERCIO DE UTILIDADES LTDA ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;273,536;3.217,87;28;07/05/2024 17:54;427114;13/05/2024 10:41;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433767;4;CD01;CD01;07/05/2024 00:00;1028038;CND 27 COMERCIO DE UTILIDADES LTDA ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;69,331;1.601,44;41;07/05/2024 17:54;427114;13/05/2024 10:42;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433766;4;CD01;CD01;07/05/2024 00:00;1027401;SAVEGNAGO SUPERMERCADOS LTDA ;693;RICARDO/RIB.PRETO;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;72,451;1.239,76;9;07/05/2024 17:54;427114;15/05/2024 16:18;16/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433765;4;CD01;CD01;07/05/2024 00:00;1021664;J. P. S. ARTIGOS PARA FESTAS EIRELI ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;242,592;3.300,27;25;07/05/2024 17:54;427114;13/05/2024 10:23;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433764;4;CD01;CD01;07/05/2024 00:00;1020334;SEM LIMITE DISTRIBUIDORA DE FRIOS E LATICINIOS LTDA;475;Rodolfo / AT;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;130;2.291,80;20;07/05/2024 17:54;427114;15/05/2024 16:56;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:59;Entregue com ocorrência
1433763;4;CD01;CD01;07/05/2024 00:00;1016403;FAVERO LEME CIA LTDA ME ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;330,46;5.594,26;52;07/05/2024 17:54;427114;14/05/2024 11:43;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue com ocorrência
1433762;4;CD01;CD01;07/05/2024 00:00;1015399;DISCAMP FOODS COM. DE ALIM. LTDA - ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;160,432;2.878,00;22;07/05/2024 17:54;427114;13/05/2024 10:54;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433761;4;CD01;CD01;07/05/2024 00:00;1013227;ODAIR ROGERIO DE MORAES ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;23,532;329,17;2;07/05/2024 17:54;427114;13/05/2024 10:14;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433760;4;CD01;CD01;07/05/2024 00:00;1009542;FLAMAR EMBALAGENS LTDA - EPP ;201;Osvaldo - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;216,787;2.901,70;29;07/05/2024 17:54;427114;14/05/2024 16:14;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433759;4;CD01;CD01;07/05/2024 00:00;1009507;ESTORIL SOL FESTAS E DOCES LTDA EPP ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;907,14;10.305,30;92;07/05/2024 17:54;427114;13/05/2024 10:51;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433758;4;CD01;CD01;07/05/2024 00:00;1008521;BEIRA RIO COM. EXP. IMP. ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;99,41;2.183,49;22;07/05/2024 17:54;427114;13/05/2024 16:49;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433757;4;CD01;CD01;07/05/2024 00:00;1007785;MONTE BELLO E NASTARO LTDA EPP ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;100,845;2.231,22;28;07/05/2024 17:54;427114;13/05/2024 16:48;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433756;4;CD01;CD01;07/05/2024 00:00;1006183;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;189,215;3.462,41;31;07/05/2024 17:54;427114;13/05/2024 11:08;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433755;4;CD01;CD01;07/05/2024 00:00;1005542;PAULA ROBERTA TREU PERES ME ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;47,979;758,65;7;07/05/2024 17:54;427114;13/05/2024 10:20;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433754;4;CD01;CD01;07/05/2024 00:00;1004941;BEIRA RIO COM. EXP. IMP. ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;64;1.428,87;14;07/05/2024 17:54;427114;13/05/2024 16:47;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433753;4;CD01;CD01;07/05/2024 00:00;1003711;PANTOJA E CIA LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;59,072;1.150,76;10;07/05/2024 17:54;427114;13/05/2024 10:33;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433752;4;CD01;CD01;07/05/2024 00:00;1003613;BOLSÃO COM. PROD. ALIM. LTDA BOLSAO DE CEREAIS;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;69,1;1.215,30;14;07/05/2024 17:54;427114;13/05/2024 16:22;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433751;4;CD01;CD01;07/05/2024 00:00;1003437;PANTOJA E CIA LTDA ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;52,444;1.134,99;10;07/05/2024 17:54;427114;13/05/2024 10:32;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433750;4;CD01;CD01;07/05/2024 00:00;1002302;CND 27 COM. DE UTIL. LTDA EPP ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;330,95;4.039,01;39;07/05/2024 17:54;427114;13/05/2024 10:47;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433749;4;CD01;CD01;07/05/2024 00:00;1002302;CND 27 COM. DE UTIL. LTDA EPP ;210;José Carlos - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;124,915;2.874,21;71;07/05/2024 17:54;427114;13/05/2024 10:46;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1433748;4;CD01;CD01;07/05/2024 00:00;1001812;BALTIERI, BALTIERI E CIA LTDA SM. JARDIM SAO PEDRO;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;306,426;6.055,84;62;07/05/2024 17:54;427114;13/05/2024 10:40;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433747;4;CD01;CD01;07/05/2024 00:00;1001063;COM. REMAFRA LTDA ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;41,926;916,22;9;07/05/2024 17:54;427114;13/05/2024 10:25;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433746;4;CD01;CD01;07/05/2024 00:00;2002483;NIVALDO INACIO PEREIRA;942;CASA MARÍLIA - (RH);Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;180;4.710,00;10.000,00;07/05/2024 17:54;427114;13/05/2024 10:55;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433744;4;CD01;CD01;07/05/2024 00:00;1035219;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;4,435;77,06;1;07/05/2024 17:54;427114;13/05/2024 16:30;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433743;4;CD01;CD01;07/05/2024 00:00;1035218;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;3,305;55,73;1;07/05/2024 17:54;427114;16/05/2024 10:41;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433742;4;CD01;CD01;07/05/2024 00:00;1033828;REINALDO CHICAROLLI MARTINS SUPERMERCADOS EIRELI;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;6,367;112,37;1;07/05/2024 17:54;427114;14/05/2024 16:53;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433741;4;CD01;CD01;07/05/2024 00:00;1016403;FAVERO LEME CIA LTDA ME ;717;Humberto - Humbert´s;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;21,338;277,6;2;07/05/2024 17:54;427114;14/05/2024 11:43;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433740;4;CD01;CD01;07/05/2024 00:00;1008521;BEIRA RIO COM. EXP. IMP. ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;4,44;85,62;1;07/05/2024 17:54;427114;13/05/2024 16:50;15/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433739;4;CD01;CD01;07/05/2024 00:00;1006183;COMERCIAL PEREIRA DA SILVA LTDA ;709;Silva - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;8,649;138,47;1;07/05/2024 17:54;427114;13/05/2024 11:10;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433738;4;CD01;CD01;07/05/2024 00:00;1001812;BALTIERI, BALTIERI E CIA LTDA SM. JARDIM SAO PEDRO;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;3,305;58,66;1;07/05/2024 17:54;427114;13/05/2024 10:38;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;15/05/2024 14:49;15/05/2024 15:49;Entregue sem ocorrência
1433737;4;CD01;CD01;07/05/2024 00:00;1001188;ANTONIO CARLOS BASSO RIO CLARO EIRE ;705;Gasparini - J. G. Re;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;3,296;64,3;1;07/05/2024 17:54;427114;13/05/2024 10:29;14/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;14/05/2024 14:49;14/05/2024 23:30;Entregue sem ocorrência
1432517;4;CD01;CD01;29/04/2024 00:00;1047061;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;460,042;5.696,36;34;29/04/2024 22:32;425875;06/05/2024 11:10;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432516;4;CD01;CD01;29/04/2024 00:00;1047061;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;182,742;2.523,40;28;29/04/2024 22:32;425875;06/05/2024 11:12;08/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432515;4;CD01;CD01;29/04/2024 00:00;1047055;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;361,137;4.790,01;62;29/04/2024 22:32;425875;07/05/2024 15:41;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432514;4;CD01;CD01;29/04/2024 00:00;1047055;IRMAOS MUFFATO S A;668;CAMISS / Cátia;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;184,606;2.501,71;16;29/04/2024 22:32;425875;07/05/2024 15:40;09/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432513;4;CD01;CD01;29/04/2024 00:00;1040666;DOCE FESTA DOCERRANO ITU LTDA;215;Silvio - LUNIER;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;257,002;3.852,79;27;29/04/2024 22:32;425875;03/05/2024 15:42;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432512;4;CD01;CD01;29/04/2024 00:00;1039639;SORELLI DISTRIBUIDORA LTDA;746;CASSIO / DI-SPC;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;142,118;2.916,41;63;29/04/2024 22:32;425875;03/05/2024 11:06;17/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432511;4;CD01;CD01;29/04/2024 00:00;1039639;SORELLI DISTRIBUIDORA LTDA;746;CASSIO / DI-SPC;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;552,525;8.690,48;205;29/04/2024 22:32;425875;03/05/2024 14:55;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432510;4;CD01;CD01;29/04/2024 00:00;1039066;CHEN ARMARINHOS EIRELI;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;10,058;231,03;2;29/04/2024 22:32;425875;06/05/2024 15:21;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
1432509;4;CD01;CD01;29/04/2024 00:00;1038215;KAUAN RIBEIRO TURINI 46404938863;691;Humberts / Junior;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;63,45;1.187,01;6;29/04/2024 22:32;425875;03/05/2024 14:46;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;07/05/2024 23:30;08/05/2024 00:30;Entregue com ocorrência
1432508;4;CD01;CD01;29/04/2024 00:00;1037764;SM SUPERMERCADO LTDA;647;Danilo - Robdan Com.;Trecho 2;JETTA TRANSPORTES E LOGISTICA LTDA - Trecho 2;0;81,846;1.733,87;18;29/04/2024 22:32;425875;03/05/2024 14:59;06/05/2024;Baixa Web Jetta Transportes LTDA - Rafaela;06/05/2024 23:30;07/05/2024 00:30;Entregue com ocorrência
